Frequency	FFT
161.1328125	2.3413058511037823e-05
162.109375	2.7838932372802998e-05
163.0859375	2.511683976626351e-05
164.0625	1.8776755523203357e-05
165.0390625	2.4942516722393148e-05
166.015625	2.7333546845647484e-05
166.9921875	1.6930113860156223e-05
167.96875	2.8207773471501883e-05
168.9453125	2.387023278244887e-05
169.921875	1.3595364163412732e-05
170.8984375	7.684196304301754e-06
171.875	1.9097218081055964e-05
172.8515625	1.1603335319842858e-05
173.828125	2.038475975227141e-05
174.8046875	8.780474348089147e-06
175.78125	7.151670010298002e-06
176.7578125	1.55061591925051e-05
177.734375	2.274491950132999e-05
178.7109375	1.0420796741086714e-05
179.6875	3.953299729741925e-06
180.6640625	7.4203306062963686e-06
181.640625	2.862690118124609e-05
182.6171875	3.475761525621012e-05
183.59375	1.3875304380906807e-05
184.5703125	1.1363218989920547e-05
185.546875	1.155167031582502e-05
186.5234375	1.9826515612136445e-05
187.5	3.6712324802932265e-06
188.4765625	6.309845631682842e-06
189.453125	6.9030029276139e-06
190.4296875	1.2558119201151415e-05
191.40625	1.0270124129424536e-05
192.3828125	1.029075491261547e-05
193.359375	2.1202850814286396e-05
194.3359375	1.958082645582153e-05
195.3125	9.397516883660991e-06
196.2890625	1.1249337461257357e-05
197.265625	2.293525344526004e-05
198.2421875	2.3660112988655745e-05
199.21875	1.7915855801323684e-05
200.1953125	1.764119395010452e-05
201.171875	3.397805568288744e-05
202.1484375	3.1487212077227286e-05
203.125	8.103712927903314e-06
204.1015625	8.966714688180724e-06
205.078125	1.8726141458327067e-05
206.0546875	2.513326519941841e-05
207.03125	2.0731888290918915e-05
208.0078125	2.357904198668216e-05
208.984375	1.656709123375147e-05
209.9609375	1.7849336992378923e-05
210.9375	6.10575761561316e-05
211.9140625	5.987529090211174e-05
212.890625	2.475231196341015e-05
213.8671875	2.462575886134805e-05
214.84375	2.814700263496972e-05
215.8203125	2.454324034554494e-05
216.796875	2.2705743644521054e-05
217.7734375	1.8125080880013827e-05
218.75	2.4459178276557976e-05
219.7265625	2.2723036941805747e-05
220.703125	3.95180540615596e-05
221.6796875	3.1896650317730955e-05
222.65625	7.082715964277334e-06
223.6328125	8.52887693857048e-06
224.609375	4.9973690839537426e-06
225.5859375	1.2447766168688304e-05
226.5625	1.086842653935916e-05
227.5390625	1.4257783577216603e-05
